week,B.1.1.7_count,B.1.1.7_proportion,B.1.617.2_count,B.1.617.2_proportion,B.1.351_count,B.1.351_proportion,P.1_count,P.1_proportion
1,5,2.1,0,0.0,0,0.0,0,0.0
2,54,8.8,0,0.0,8,1.3,0,0.0
3,96,5.4,0,0.0,12,0.7,0,0.0
4,283,10.5,0,0.0,13,0.5,0,0.0
5,552,17.7,0,0.0,24,0.8,0,0.0
6,709,20.9,0,0.0,19,0.6,6,0.1
7,1200,32.6,0,0.0,21,0.6,6,0.1
8,1891,44.1,0,0.0,35,0.8,2,0.0
9,1963,52.7,0,0.0,69,1.9,10,0.3
10,2503,64.7,0,0.0,72,1.9,4,0.1
11,3053,74.1,0,0.0,49,1.2,8,0.2
12,2933,80.2,1,0.0,57,1.5,0,0.0
13,3290,87.0,0,0.0,49,1.3,8,0.3
14,3534,88.7,2,0.1,75,1.9,10,0.3
15,3999,89.0,6,0.1,89,1.9,11,0.3
16,4440,91.1,34,0.7,46,0.9,17,0.4
17,3537,90.4,55,1.4,30,0.7,41,1.0
18,4279,87.1,89,1.8,126,2.5,44,0.9
19,3491,89.0,101,2.6,51,1.3,16,0.4
20,3616,91.2,119,3.0,29,0.7,29,0.8
21,2574,90.9,102,3.6,16,0.6,24,0.8
22,1892,84.5,177,7.9,9,0.4,21,0.9
23,1040,74.4,238,17.0,6,0.4,16,1.2
24,338,54.9,226,36.7,4,0.6,8,1.3
